X,Y,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-77.0183892227292,38.9171629032156,July 2020,Closed,428 ELM STREET NW,20001,1
-76.9806796044201,38.8984467400384,July 2020,Closed,1630 GALES STREET NE,20002,6
-77.0199923388147,38.9396604524633,July 2020,Closed,524 SHEPHERD STREET NW,20011,4
-77.0202471157371,38.9379564894486,July 2020,Closed,537 QUINCY STREET NW,20011,4
-77.0212574073875,38.8814789454912,July 2020,Closed,631 G STREET SW,20024,6
-77.021944352338,38.9663028748945,July 2020,Closed,617 SHERIDAN STREET NW,20011,4
-77.0081033520711,38.9150005378126,July 2020,Closed,24 SEATON PLACE NE,20002,5
-77.0117390076722,38.9139103103944,July 2020,Closed,82 S STREET NW,20001,5
-77.0294520857326,38.9326410754434,July 2020,Closed,3501 13TH STREET NW,20010,1
-77.0270938669838,38.9542696444348,July 2020,Closed,925 INGRAHAM STREET NW,20011,4
-77.0341224954447,38.9120102923871,July 2020,Closed,1455 CORCORAN STREET NW,20009,2
-77.0156897444591,38.940914252917,July 2020,Closed,304 TAYLOR STREET NW,20011,4
-77.0108746831657,38.9138942691227,July 2020,Closed,54 S STREET NW,20001,5
-77.0015134375969,38.885520861665,July 2020,Closed,312 NORTH CAROLINA AVENUE SE,20003,6
-77.0207611781919,38.940650780295,July 2020,Closed,4031 NEW HAMPSHIRE AVENUE NW,20011,4
-76.9925461111226,38.9349918430477,July 2020,Closed,1007 BUNKER HILL ROAD NE,20017,5
-77.0738022988013,38.9181236720687,July 2020,Closed,2039 HUIDEKOPER PLACE NW,20007,3
-76.9885227993574,38.9060641591816,July 2020,Closed,1149 OWEN PLACE NE,20002,5
-77.0193526244419,38.9166981878934,July 2020,Closed,515 U STREET NW,20001,1
-76.982530362825,38.9080793052781,July 2020,Closed,1713 TRINIDAD AVENUE NE,20002,5
-77.0319298833043,38.9374140144087,July 2020,Closed,1364 QUINCY STREET NW,20011,4
-77.0118963822553,38.9131234161236,July 2020,Closed,1717 1ST STREET NW,20001,5
-77.007317809643,38.9266122319771,July 2020,Closed,45 MICHIGAN AVENUE NE,20002,5
-77.0191609726544,38.8814778669403,July 2020,Closed,507 G STREET SW,20024,6
-77.0293995442782,38.9391982309921,July 2020,Closed,3915 13TH STREET NW,20011,4
-77.0531326673484,38.8997467001063,July 2020,Closed,801 25TH STREET NW,20037,2
-76.9908050871601,38.8839153056661,July 2020,Closed,1119 D STREET SE,20003,6
-77.0182870264201,38.9611033104144,July 2020,Closed,5826 4TH STREET NW,20011,4
-77.023845432903,38.9385007225793,July 2020,Closed,814 RANDOLPH STREET NW,20011,4
-77.0345255652077,38.9560230369292,July 2020,Closed,1410 KENNEDY STREET NW,20011,4
-77.0267028799242,38.9302528225777,July 2020,Closed,3216 SHERMAN AVENUE NW,20010,1
-76.9806929692247,38.8652480354303,July 2020,Closed,1636 U STREET SE,20020,8
-76.9891376091021,38.9025485278747,July 2020,Closed,1232 FLORIDA AVENUE NE,20002,5
-76.9276951628702,38.8833619732999,July 2020,Closed,5129 D STREET SE,20019,7
-77.0196300019033,38.9772331612257,July 2020,Closed,7130 CHESTNUT STREET NW,20012,4
-76.9918543743025,38.8627364494763,July 2020,Closed,1204 TALBERT STREET SE,20020,8
-77.0068550362797,38.9160866625928,July 2020,Closed,57 TODD PLACE NE,20002,5
-77.0187291146392,38.9490556736454,July 2020,Closed,438 DELAFIELD PLACE NW,20011,4
-77.0093716685696,38.9216256194901,July 2020,Closed,2406 NORTH CAPITOL STREET NW,20002,5
-76.9778425621971,38.9062900828869,July 2020,Closed,1221 18TH STREET NE,20002,5
-77.0424786475308,38.9203862053189,July 2020,Closed,1810 BELMONT ROAD NW,20009,1
-76.9961655699256,38.9474868782841,July 2020,Closed,716 CRITTENDEN STREET NE,20017,5
-76.9870648128375,38.9118254746325,July 2020,Closed,1831 CORCORAN STREET NE,20002,5
-77.0124041175297,38.9101278195411,July 2020,Closed,1516 1ST STREET NW,20001,5
-76.9499335434803,38.8885825407228,July 2020,Closed,3912 BURNS COURT SE,20019,7
-77.007515139359,38.9179428789812,July 2020,Closed,39 V STREET NE,20002,5
-76.9854257052705,38.913457773044,July 2020,Closed,1921 GALLAUDET STREET NE,20002,5
-76.993997225628,38.902991008657,July 2020,Closed,1006 9TH STREET NE,20002,6
-77.0298767846529,38.9189665207722,July 2020,Closed,2132 13TH STREET NW,20009,1
