LONGITUDE,LATITUDE,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-77.0256051806656,38.9287026476798,May 2020,Closed,782 IRVING STREET NW,20010,1
-77.013573290044,38.9503583522921,May 2020,Open,4911 NEW HAMPSHIRE AVENUE NW,20011,4
-77.0175927077367,38.9570705989707,May 2020,Open,5517 4TH STREET NW,20011,4
-76.9928303684821,38.9033849683511,May 2020,Closed,1018 10TH STREET NE,20002,6
-77.0148218038475,38.9145455882316,May 2020,Closed,214 RHODE ISLAND AVENUE NW,20001,5
-77.0000089793468,38.9610306929064,May 2020,Open,529 OGLETHORPE STREET NE,20011,4
-76.9978346127613,38.9502170599585,May 2020,Closed,600 EMERSON STREET NE,20017,5
-77.0312456857736,38.9134970228386,May 2020,Closed,1339 RIGGS STREET NW,20009,2
-76.9781791308899,38.9039273455085,May 2020,Closed,1754 L STREET NE,20002,5
-77.0749712844149,38.9632761065409,May 2020,Closed,5500 CONNECTICUT AVENUE NW,20015,3
-76.9940568130349,38.8879554156562,May 2020,Closed,817 NORTH CAROLINA AVENUE SE,20003,6
-77.0610448475679,38.9298576174056,May 2020,Closed,3024 CORTLAND PLACE NW,20008,3
-77.0207439455958,38.9293944591902,May 2020,Closed,533 IRVING STREET NW,20010,1
-77.0128319294888,38.9142790868788,May 2020,Closed,121 S STREET NW,20001,5
-77.0154947366059,38.9151225749387,May 2020,Closed,1853 3RD STREET NW,20001,1
-76.9886197061337,38.8977271141531,May 2020,Closed,1243 MARYLAND AVENUE NE,20002,6
-77.0282004567484,38.9226853943928,May 2020,Open,1201 CLIFTON STREET NW,20009,1
-77.0098202780722,38.9142845136054,May 2020,Closed,17 S STREET NW,20001,5
-77.0323534636219,38.9151420941781,May 2020,Closed,1830 14TH STREET NW,20009,2
-77.0301293855464,38.9314048728955,May 2020,Closed,1309 PARK ROAD NW,20010,1
-77.017932891723,38.9444731953673,May 2020,Closed,4403 NEW HAMPSHIRE AVENUE NW,20011,4
-77.0399334395392,38.9179560249073,May 2020,Closed,1746 V STREET NW,20009,1
-77.0276316726601,38.9327193517927,May 2020,Closed,1000 MONROE STREET NW,20010,1
-77.0738022988013,38.9181236720687,May 2020,Closed,2039 HUIDEKOPER PLACE NW,20007,3
-77.0242826054582,38.9568396000117,May 2020,Closed,5514 8TH STREET NW,20011,4
-77.0396038006716,38.9161507770367,May 2020,Open,1728 WILLARD STREET NW,20009,2
-77.0301908280411,38.9139028555695,May 2020,Closed,1310 S STREET NW,20009,2
-77.0472758114455,38.9074359569792,May 2020,Closed,2107 N STREET NW,20037,2
