LONGITUDE,LATITUDE,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-76.98901817514360,38.90477979601920,April 2020,Open,1300 MONTELLO AVENUE NE,20002,5
-76.999267210502700,38.925955302207900,April 2020,Open,2811 5TH STREET NE,20017,5
-77.028790511166000,38.956025310594300,April 2020,Open,1218 KENNEDY STREET NW,20011,4
-77.012396323367100,38.9143728206164,April 2020,Closed,1806 1ST STREET NW,20001,5
-77.043412856085400,38.933525663114500,April 2020,Open,1867 MONROE STREET NW,20010,1
-77.022808229877900,38.934447825215600,April 2020,Open,716 OTIS PLACE NW,20010,1
-77.024870716807600,38.907060470554700,April 2020,Closed,922 N STREET NW,20001,2
-76.978541467154000,38.938854130987300,April 2020,Closed,4010 19TH STREET NE,20018,5
-76.97922619223130,38.90388276484130,April 2020,Open,1726 L STREET NE,20002,5
-77.013447922706300,38.950531505837900,April 2020,Closed,4919 NEW HAMPSHIRE AVENUE NW,20011,4
-76.97934023151470,38.904214472654300,April 2020,Closed,1641 LANG PLACE NE,20002,5
-77.026796483243600,38.928904707298200,April 2020,Closed,1011 IRVING STREET NW,20010,1
-77.003689471982100,38.960350060791500,April 2020,Closed,225 NICHOLSON STREET NE,20011,4
-76.997499083255200,38.955032064513500,April 2020,Open,540 INGRAHAM STREET NE,20011,5
-77.015675886839800,38.942940309362500,April 2020,Closed,4226 3RD STREET NW,20011,4
-77.005477318052100,38.912840581194800,April 2020,Closed,126 R STREET NE,20002,5
-77.008444381223300,38.911686345903700,April 2020,Closed,7 QUINCY PLACE NE,20002,5
-77.026902332718100,38.953909628140000,April 2020,Closed,930 INGRAHAM STREET NW,20011,4
-76.989699010747300,38.947551437146600,April 2020,Closed,4801 SOUTH DAKOTA AVENUE NE,20017,5
-77.00247333803960,38.919525407645500,April 2020,Open,230 RHODE ISLAND AVENUE NE,20002,5
-76.995174823122300,38.958395407407100,April 2020,Open,5808 8TH STREET NE,20011,4
-76.980142371594400,38.9064259819529,April 2020,Closed,1239 16TH STREET NE,20002,5
-77.020937104763800,38.929334159135900,April 2020,Closed,539 IRVING STREET NW,20010,1
-77.042885419128300,38.93351793053200,April 2020,Open,1849 MONROE STREET NW,20010,1
-77.02649062574770,38.943478225344200,April 2020,Open,4317 IOWA AVENUE NW,20011,4
-77.020577189278400,38.87947875399700,April 2020,Open,619 I STREET SW,20024,6
-77.033147799670400,38.913880253903500,April 2020,Open,1414 S STREET NW,20009,2
-77.017832676410900,38.945504118846700,April 2020,Open,4500 NEW HAMPSHIRE AVENUE NW,20011,4
-77.0220511738612,38.936005145596000,April 2020,Open,728 QUEBEC PLACE NW,20010,1
-76.999859099837200,38.96104276388850,April 2020,Closed,535 OGLETHORPE STREET NE,20011,4
-77.00133038776560,38.915349253755900,April 2020,Open,311 T STREET NE,20002,5
-77.001675377266000,38.914994951477400,April 2020,Closed,306 SEATON PLACE NE,20002,5
-77.024386377391100,38.912816184089900,April 2020,Closed,907 R STREET NW,20001,6
-77.053345209611000,38.928215386456500,April 2020,Closed,2331 CATHEDRAL AVENUE NW,20008,3
-77.041103463318400,38.914691178929600,April 2020,Closed,1756 SWANN STREET NW,20009,2
-77.027398060275200,38.909455134639300,April 2020,Closed,1426 11TH STREET NW,20001,2
-76.988709755908300,38.844435107266700,April 2020,Closed,1249 ALABAMA AVENUE SE,20032,8
-76.958763898043100,38.893739413056200,April 2020,Closed,3334 CLAY STREET NE,20019,7
-77.006154619752700,38.84086904601070,April 2020,Closed,131 RALEIGH STREET SE,20032,8
