X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-76.98901817514357,38.90477979601917,194,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-30T20:09:54.000Z,,2020-04-20T20:09:54.000Z,2020-03-30T20:09:54.000Z,,,,Open,,20-00113952,Standard,1300 MONTELLO AVENUE NE,400952.74,137435.09,38.90477234,-76.98901589,WASHINGTON,DC,20002,68771,5
-76.999267210502722,38.925955302207896,195,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-30T21:51:02.000Z,,2020-04-20T21:51:02.000Z,2020-03-30T21:51:02.000Z,,,,Open,,20-00113996,Standard,2811 5TH STREET NE,400063.74,139785.69,38.92594784,-76.99926493,WASHINGTON,DC,20017,44518,5
-77.028790511166022,38.956025310594335,196,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-20T11:19:52.000Z,,2020-04-09T11:19:51.000Z,2020-03-20T11:19:52.000Z,,,,Open,,20-00101528,Standard,1218 KENNEDY STREET NW,397504.76,143124.12,38.95601785,-77.02878822,WASHINGTON,DC,20011,253041,4
-77.012396323367071,38.9143728206164,197,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-26T08:39:57.000Z,2020-04-01T10:17:48.000Z,2020-04-15T08:39:56.000Z,2020-03-26T08:39:57.000Z,1,2020-04-01T10:17:47.000Z,,Closed,,20-00108346,Standard,1806 1ST STREET NW,398925.11,138500.01,38.91436536,-77.01239404,WASHINGTON,DC,20001,227187,5
-77.043412856085368,38.933525663114537,198,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-17T15:05:00.000Z,,2020-04-06T15:05:00.000Z,2020-03-17T15:05:00.000Z,,,,Open,,20-00096968,Standard,1867 MONROE STREET NW,396236.17,140626.96,38.9335182,-77.04341056,WASHINGTON,DC,20010,233791,1
-77.022808229877896,38.934447825215585,199,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-31T20:53:14.000Z,,2020-04-21T20:53:14.000Z,2020-03-31T20:53:14.000Z,,,,Open,,20-00115705,Standard,716 OTIS PLACE NW,398022.68,140728.68,38.93444037,-77.02280594,WASHINGTON,DC,20010,228601,1
-77.024870716807584,38.907060470554669,200,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-19T19:19:28.000Z,2020-03-24T13:16:16.000Z,2020-04-08T19:19:28.000Z,2020-03-19T19:19:28.000Z,1,2020-03-24T13:16:15.000Z,,Closed,,20-00100873,Standard,922 N STREET NW,397843.03,137688.5,38.90705268,-77.02486843,WASHINGTON,DC,20001,239757,2
-76.978541467153974,38.938854130987302,201,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-28T03:01:48.000Z,2020-03-30T10:42:52.000Z,2020-04-17T03:01:48.000Z,2020-03-28T03:01:48.000Z,1,2020-03-30T10:42:52.000Z,,Closed,,20-00111253,Standard,4010 19TH STREET NE,401860.58,141217.79,38.93884667,-76.97853919,WASHINGTON,DC,20018,28179,5
-76.97922619223128,38.90388276484132,202,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-28T20:33:58.000Z,,2020-04-17T20:33:58.000Z,2020-03-28T20:33:58.000Z,,,,Open,,20-00111849,Standard,1726 L STREET NE,401802.1,137335.66,38.90387531,-76.97922391,WASHINGTON,DC,20002,56916,5
-77.013447922706305,38.950531505837901,203,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-17T13:40:25.000Z,2020-03-24T08:36:52.000Z,2020-04-06T13:40:25.000Z,2020-03-17T13:40:25.000Z,1,2020-03-18T09:25:00.000Z,,Closed,,20-00096727,Standard,4919 NEW HAMPSHIRE AVENUE NW,398834.5,142513.95,38.95052404,-77.01344563,WASHINGTON,DC,20011,243655,4
-76.97934023151474,38.904214472654289,204,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-25T20:08:47.000Z,2020-03-27T07:34:13.000Z,2020-04-14T20:08:47.000Z,2020-03-25T20:08:47.000Z,1,2020-03-27T07:33:00.000Z,,Closed,,20-00108085,Standard,1641 LANG PLACE NE,401792.2,137372.48,38.90420702,-76.97933795,WASHINGTON,DC,20002,58661,5
-77.026796483243572,38.928904707298159,205,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-30T04:46:11.000Z,2020-03-31T10:37:28.000Z,2020-04-20T04:46:11.000Z,2020-03-30T04:46:11.000Z,1,2020-03-31T10:37:27.000Z,,Closed,,20-00112285,Standard,1011 IRVING STREET NW,397676.71,140113.44,38.92889725,-77.02679419,WASHINGTON,DC,20010,231290,1
-77.003689471982099,38.960350060791541,206,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-25T10:17:36.000Z,2020-03-27T08:11:22.000Z,2020-04-14T10:17:36.000Z,2020-03-25T10:17:36.000Z,1,2020-03-26T11:39:00.000Z,,Closed,,20-00106993,Standard,225 NICHOLSON STREET NE,399680.43,143603.82,38.96034259,-77.00368718,WASHINGTON,DC,20011,49482,4
-76.997499083255249,38.955032064513453,207,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-04-01T12:05:13.000Z,,2020-04-22T12:05:13.000Z,2020-04-01T12:05:13.000Z,,,,Open,,20-00116508,Standard,540 INGRAHAM STREET NE,400216.97,143013.47,38.9550246,-76.9974968,WASHINGTON,DC,20011,9394,5
-77.015675886839773,38.942940309362491,208,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-26T14:29:37.000Z,2020-03-30T09:45:20.000Z,2020-04-15T14:29:37.000Z,2020-03-26T14:29:37.000Z,1,2020-03-30T09:45:19.000Z,,Closed,,20-00109129,Standard,4226 3RD STREET NW,398641.23,141671.29,38.94293285,-77.0156736,WASHINGTON,DC,20011,244126,4
-77.005477318052144,38.912840581194779,209,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-20T10:56:18.000Z,2020-03-24T07:14:13.000Z,2020-04-09T10:56:18.000Z,2020-03-20T10:56:18.000Z,1,2020-03-24T07:12:00.000Z,,Closed,,20-00101451,Standard,126 R STREET NE,399525.16,138329.86,38.91283279,-77.00547503,WASHINGTON,DC,20002,69406,5
-77.008444381223299,38.911686345903746,210,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-17T09:58:50.000Z,2020-03-20T09:15:43.000Z,2020-04-06T09:58:50.000Z,2020-03-17T09:58:50.000Z,1,2020-03-20T09:15:00.000Z,,Closed,,20-00096034,Standard,7 QUINCY PLACE NE,399267.82,138201.75,38.91167889,-77.00844209,WASHINGTON,DC,20002,232,5
-77.026902332718066,38.953909628140018,211,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-18T09:22:09.000Z,2020-03-20T08:56:12.000Z,2020-04-07T09:22:09.000Z,2020-03-18T09:22:09.000Z,1,2020-03-19T10:50:00.000Z,,Closed,,20-00097717,Standard,930 INGRAHAM STREET NW,397668.35,142889.21,38.95390216,-77.02690004,WASHINGTON,DC,20011,251675,4
-76.989699010747344,38.947551437146579,212,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-20T10:31:17.000Z,2020-03-25T07:20:11.000Z,2020-04-09T10:31:17.000Z,2020-03-20T10:31:17.000Z,1,2020-03-25T07:19:00.000Z,,Closed,,20-00101402,Standard,4801 SOUTH DAKOTA AVENUE NE,400893.15,142183.1,38.94754397,-76.98969673,WASHINGTON,DC,20017,17440,5
-77.00247333803955,38.919525407645502,213,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-04-01T21:25:29.000Z,,2020-04-22T21:25:29.000Z,2020-04-01T21:25:29.000Z,,,,Open,,20-00117333,Standard,230 RHODE ISLAND AVENUE NE,399785.71,139071.92,38.91951795,-77.00247105,WASHINGTON,DC,20002,48939,5
